Min Dist,Classification
2.79560423,IND
2.79593968,INF
2.798033,INF
2.79880404,INF
2.79890203,INF
2.79908204,INF
2.80038714,INF
2.80237269,INF
2.80378866,INF
2.80586171,IND
2.8094883,INF
2.81039476,INF
2.81228113,INF
2.81349397,INF
2.81408691,IND
2.81481314,INF
2.8167069,INF
2.82149458,INF
2.82735729,INF
2.83040881,INF
2.83184624,INF
2.83287477,INF
2.83719182,INF
2.83994389,INF
2.84110498,IND
2.84280229,INF
2.84401727,INF
2.84411359,INF
2.84644556,INF
2.84663558,INF
2.84696031,INF
2.84772754,INF
2.85310531,INF
2.85310841,INF
2.85464382,INF
2.85637045,INF
2.85692883,INF
2.85752916,INF
2.85775971,INF
2.85982323,IND
2.86312199,INF
2.86442733,IND
2.8646946,INF
2.86626744,INF
2.86766267,INF
2.86782026,INF
2.8694396,INF
2.87028694,INF
2.870785,INF
2.870785,INF
2.870785,INF
2.870785,INF
2.870785,INF
2.87104487,INF
2.87211943,INF
2.87284327,INF
2.87289453,IND
2.8729527,INF
2.87696505,INF
2.87837195,INF
2.88053799,INF
2.88115191,INF
2.88129044,INF
2.88227224,INF
2.8850646,INF
2.88527608,INF
2.88643861,IND
2.88790965,INF
2.89000964,INF
2.89140844,INF
2.8920002,INF
2.89247513,INF
2.89307451,IND
2.89422464,IND
2.89867568,IND
2.9002521,INF
2.90050173,INF
2.90143847,INF
2.90268898,INF
2.90398431,INF
2.90409493,INF
2.90472102,IND
2.90880299,INF
2.90930367,INF
2.91019058,INF
2.91155457,INF
2.91174054,INF
2.91177416,INF
2.91208816,INF
2.91215634,INF
2.91252661,INF
2.91371655,INF
2.91538286,INF
2.91701937,INF
2.91706109,INF
2.91715622,IND
2.91775131,INF
2.91992784,INF
2.91997886,INF
2.9214735,IND
2.92213464,INF
2.92239046,INF
2.92275739,INF
2.92356062,INF
2.92619848,INF
2.92712617,INF
2.927742,INF
2.92987895,IND
2.93026018,INF
2.93049884,INF
2.93105483,INF
2.93139219,INF
2.93469453,IND
2.93484187,IND
2.93523335,IND
2.93536425,INF
2.93546939,INF
2.93652391,INF
2.93658423,INF
2.93742633,IND
2.93775725,INF
2.93790722,INF
2.93844533,INF
2.93930578,INF
2.93970156,IND
2.94078016,INF
2.9423306,INF
2.94244361,INF
2.94266868,INF
2.94269657,INF
2.94311047,INF
2.9451375,INF
2.94701934,INF
2.94718218,INF
2.95066524,INF
2.9519732,INF
2.95201492,IND
2.95248246,INF
2.95262218,IND
2.95265555,IND
2.95363331,INF
2.95516086,INF
2.95635414,INF
2.95681691,INF
2.95745254,INF
2.95918322,INF
2.95934176,INF
2.95950603,INF
2.96012235,INF
2.96069312,INF
2.96075201,IND
2.96171331,INF
2.96277022,INF
2.96377468,INF
2.96451378,INF
2.96547198,INF
2.96763992,INF
2.96846151,INF
2.96852875,INF
2.97038484,INF
2.97339249,INF
2.97555041,INF
2.98017049,INF
2.98098993,INF
2.98121524,INF
2.98348975,INF
2.98478842,INF
2.98478937,INF
2.98561049,IND
2.99026322,INF
2.99062538,INF
2.99956512,INF
3.00251508,INF
3.00306559,INF
3.01169252,INF
3.01200438,INF
3.01276827,IND
3.01471448,INF
3.01686096,INF
3.02026558,INF
3.02174592,INF
3.02247763,INF
3.02391744,INF
3.02607775,INF
3.02665925,INF
3.02877951,INF
3.02937722,INF
3.03023672,INF
3.03105426,INF
3.03123713,INF
3.03160071,INF
3.03167272,IND
3.03356576,INF
3.03428388,IND
3.03494668,INF
3.03516364,IND
3.0359118,INF
3.03693748,IND
3.03723001,INF
3.03730702,INF
3.04114652,IND
3.04159069,IND
3.04514718,INF
3.0456121,INF
